municipio,data,valor,categoria,historico,fonteDeRecursos,idReceita,sourceUrl
"LUMINÁRIAS","2026-05-05","50000","OUTROS SERVIÇOS DE ATENDIMENTO À SAÚDE - PRIN","RECEITA REFERENTE À REPASSE FINANCEIRO PROGRAMA DE SAÚDE - PM LUMINÁRIAS","1.659.002 - OUTROS RECURSOS VINCULADOS A SAÚDE","16319901","https://pt.cislav.mg.gov.br/api/relatorios/receita?unidade_gestora=1&exercicio=2026&mes_inicial=05&mes_final=05"
"LUMINÁRIAS","2026-05-05","41751.57","OUTROS SERVIÇOS DE ATENDIMENTO À SAÚDE - PRIN","RECEITA REFERENTE À REPASSE FINANCEIRO PROGRAMA DE SAÚDE - PM LUMINÁRIAS","1.659.002 - OUTROS RECURSOS VINCULADOS A SAÚDE","16319901","https://pt.cislav.mg.gov.br/api/relatorios/receita?unidade_gestora=1&exercicio=2026&mes_inicial=05&mes_final=05"
"NAZARENO","2026-05-05","4151.48","TRANSFERÊNCIAS DE MUNICÍPIOS A CONSÓRCIOS PÚB","RECEITA REFERENTE À REPASSE FINANCEIRO CONTRATO DE RATEIO - PM NAZARENO","1.500.000 - RECURSOS NÃO VINCULADOS DE IMPOSTOS","17395001","https://pt.cislav.mg.gov.br/api/relatorios/receita?unidade_gestora=1&exercicio=2026&mes_inicial=05&mes_final=05"
"ITUTINGA","2026-05-08","130261.38","OUTROS SERVIÇOS DE ATENDIMENTO À SAÚDE - PRIN","RECEITA REFERENTE À REPASSE FINANCEIRO PROGRAMA DE SAÚDE - PM ITUTINGA","1.659.002 - OUTROS RECURSOS VINCULADOS A SAÚDE","16319901","https://pt.cislav.mg.gov.br/api/relatorios/receita?unidade_gestora=1&exercicio=2026&mes_inicial=05&mes_final=05"
"IBITURUNA","2026-05-08","75604.14","OUTROS SERVIÇOS DE ATENDIMENTO À SAÚDE - PRIN","RECEITA REFERENTE À REPASSE FINANCEIRO PROGRAMA DE SAÚDE - PM IBITURUNA","1.659.002 - OUTROS RECURSOS VINCULADOS A SAÚDE","16319901","https://pt.cislav.mg.gov.br/api/relatorios/receita?unidade_gestora=1&exercicio=2026&mes_inicial=05&mes_final=05"
"INGAÍ","2026-05-08","4151.48","TRANSFERÊNCIAS DE MUNICÍPIOS A CONSÓRCIOS PÚB","RECEITA REFERENTE À REPASSE FINANCEIRO CONTRATO DE RATEIO - PM INGAÍ","1.500.000 - RECURSOS NÃO VINCULADOS DE IMPOSTOS","17395001","https://pt.cislav.mg.gov.br/api/relatorios/receita?unidade_gestora=1&exercicio=2026&mes_inicial=05&mes_final=05"
"IBITURUNA","2026-05-08","4151.48","TRANSFERÊNCIAS DE MUNICÍPIOS A CONSÓRCIOS PÚB","RECEITA REFERENTE À REPASSE FINANCEIRO CONTRATO DE RATEIO - PM IBITURUNA","1.500.000 - RECURSOS NÃO VINCULADOS DE IMPOSTOS","17395001","https://pt.cislav.mg.gov.br/api/relatorios/receita?unidade_gestora=1&exercicio=2026&mes_inicial=05&mes_final=05"
"ITUMIRIM","2026-05-11","4151.48","TRANSFERÊNCIAS DE MUNICÍPIOS A CONSÓRCIOS PÚB","RECEITA REFERENTE À REPASSE FINANCEIRO CONTRATO DE RAEIO - PM ITUMIRIM","1.500.000 - RECURSOS NÃO VINCULADOS DE IMPOSTOS","17395001","https://pt.cislav.mg.gov.br/api/relatorios/receita?unidade_gestora=1&exercicio=2026&mes_inicial=05&mes_final=05"
"ITUTINGA","2026-05-12","4151.48","TRANSFERÊNCIAS DE MUNICÍPIOS A CONSÓRCIOS PÚB","RECEITA REFERENTE À REPASSE FINANCEIRO CONTRATO DE RATEIO - PM ITUTINGA","1.500.000 - RECURSOS NÃO VINCULADOS DE IMPOSTOS","17395001","https://pt.cislav.mg.gov.br/api/relatorios/receita?unidade_gestora=1&exercicio=2026&mes_inicial=05&mes_final=05"
"LUMINÁRIAS","2026-05-12","4151.48","TRANSFERÊNCIAS DE MUNICÍPIOS A CONSÓRCIOS PÚB","RECEITA REFERENTE À REPASSE FINANCEIRO CONTRATO DE RATEIO - PM LUMINÁRIAS","1.500.000 - RECURSOS NÃO VINCULADOS DE IMPOSTOS","17395001","https://pt.cislav.mg.gov.br/api/relatorios/receita?unidade_gestora=1&exercicio=2026&mes_inicial=05&mes_final=05"
"BOM SUCESSO","2026-05-14","135322.5","OUTROS SERVIÇOS DE ATENDIMENTO À SAÚDE - PRIN","RECEITA REFERENTE À REPASSE FINANCEIRO PROGRAMA DE SAÚDE - PM BOM SUCESSO","1.659.002 - OUTROS RECURSOS VINCULADOS A SAÚDE","16319901","https://pt.cislav.mg.gov.br/api/relatorios/receita?unidade_gestora=1&exercicio=2026&mes_inicial=05&mes_final=05"
"IJACÍ","2026-05-14","151896.4","OUTROS SERVIÇOS DE ATENDIMENTO À SAÚDE - PRIN","RECEITA REFERENTE À REPASSE FINANCEIRO PROGRAMA DE SAÚDE - PM IJACÍ","1.659.002 - OUTROS RECURSOS VINCULADOS A SAÚDE","16319901","https://pt.cislav.mg.gov.br/api/relatorios/receita?unidade_gestora=1&exercicio=2026&mes_inicial=05&mes_final=05"
